"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-69278","Cell Cycle, Mitotic","251/2260","499/8772",8.7121251961657e-34,8.94735257646217e-31,7.61164622401845e-31,"Mcm5/Pola1/Gins1/Prim1/Mcm6/Ncapg/Mcm7/Ccna2/Nuf2/Bub1/Mcm2/Cenpe/Birc5/Spc25/Ncapd2/Cdca5/Bub1b/Cenpf/Mcm4/Hmmr/Ndc80/Mcm10/Rfc4/Fbxo5/Ccnb2/H2afx/Kif2c/Ccne2/Cenpn/Cenpq/Cks1b/Gins2/Nek2/Ercc6l/Cdca8/Zwilch/Smc2/Mad2l1/Tpx2/Haus1/Mcm3/Cdc20/Pole/Plk4/Pttg1/Aurkb/Ska1/Ncaph/Sgo1/Pold2/Pkmyt1/Ube2c/Lig1/Cdk1/Plk1/Cdk6/Pold1/Kntc1/Rfc5/Ccnd1/Aurka/Cdc45/Cenpp/Spdl1/Lpin2/Cdc6/Rbl1/Ndc1/Esco2/Haus3/Cdc25c/Kif20a/Cenph/Phlda1/Cenpk/Spc24/Smc4/Pcna/Sgo2a/Tubg1/Mastl/Aaas/Ccne1/Wee1/Prim2/Ncapd3/Nde1/Cdc25a/Clip1/H2afv/Cenps/Cenpu/Cep192/Haus4/Cenpm/Rfc3/Incenp/Haus6/Haus8/Cdc7/Cenpo/H2afz/Lmnb1/Nup85/Pmf1/Bora/Anapc15/Tfdp1/Nup35/Rangap1/Ncaph2/Rfc1/Dsn1/Pole2/Nup62/Nup43/Gtse1/Rpa1/Rpa3/Pola2/Rfc2/Cdk5rap2/Dbf4/Lmna/Smc3/Mcm8/Pds5b/Rad21/Haus7/Ska2/Vrk2/Nup37/Espl1/Cenpa/Ncapg2/Haus5/Vrk1/Nup160/Gmnn/Cdc25b/Rcc2/Nup107/Nup155/Cdk4/Cep152/Prkar2b/Gins4/Src/Cenpc1/Anapc5/Nup214/Tuba1a/Cep70/Ckap5/Ccnd3/Nup210/Set/Nup133/Skp2/Ccnd2/Tuba4a/Taok1/Orc2/Kif23/Tubgcp4/Cep41/Dna2/Xpo1/Jak2/Tubgcp2/Zw10/Nedd1/Haus2/Cdc23/Tubb2a/Kif18a/Nup188/Cenpt/Tuba1b/Psmb9/E2f2/Ccp110/Tubb5/Optn/Pole3/Psmd8/Akt2/Pold4/Rbbp4/Odf2/Psmb3/Tubb2b/Cetn2/Dynll1/Ranbp2/Fzr1/Cep57/Gins3/Gorasp1/Ywhag/Anapc11/Itgb3bp/Cdk2/Pafah1b1/Psmb10/Banf1/Mnat1/Orc1/Ankle2/Pole4/Pcm1/Ccnh/Hsp90aa1/Pcnt/Mcph1/Ubc/Blzf1/Gorasp2/Fgfr1op/Mzt2/Lin54/Zwint/Nudc/Smc1a/Trp53/Cep131/E2f1/Cep72/E2f5/Cep76/Psmd11/Wapl/Nup88/Kmt5a/H3c4/Nup153/Nup54/Kif2a/Psmd5/Cntrl/Ppp2r5d/Cep250/Cdkn1c/Pold3/Ndel1/Csnk2a1/Ppp1r12a/Nup50/Dyrk1a/Lin52/Cdc27",251
"R-MMU-68877","Mitotic Prometaphase","117/2260","189/8772",3.79819426344287e-26,1.95037275427791e-23,1.65921117824083e-23,"Ncapg/Nuf2/Bub1/Cenpe/Birc5/Spc25/Ncapd2/Cdca5/Bub1b/Cenpf/Ndc80/Ccnb2/Kif2c/Cenpn/Cenpq/Nek2/Ercc6l/Cdca8/Zwilch/Smc2/Mad2l1/Haus1/Cdc20/Plk4/Aurkb/Ska1/Ncaph/Sgo1/Cdk1/Plk1/Kntc1/Cenpp/Spdl1/Haus3/Cenph/Cenpk/Spc24/Smc4/Sgo2a/Tubg1/Nde1/Clip1/Cenps/Cenpu/Cep192/Haus4/Cenpm/Incenp/Haus6/Haus8/Cenpo/Nup85/Pmf1/Rangap1/Dsn1/Nup43/Cdk5rap2/Smc3/Pds5b/Rad21/Haus7/Ska2/Nup37/Cenpa/Haus5/Nup160/Rcc2/Nup107/Cep152/Prkar2b/Cenpc1/Tuba1a/Cep70/Ckap5/Nup133/Tuba4a/Taok1/Tubgcp4/Cep41/Xpo1/Tubgcp2/Zw10/Nedd1/Haus2/Tubb2a/Kif18a/Cenpt/Tuba1b/Ccp110/Tubb5/Odf2/Tubb2b/Cetn2/Dynll1/Ranbp2/Cep57/Ywhag/Itgb3bp/Pafah1b1/Pcm1/Hsp90aa1/Pcnt/Fgfr1op/Mzt2/Zwint/Nudc/Smc1a/Cep131/Cep72/Cep76/Wapl/Kif2a/Cntrl/Ppp2r5d/Cep250/Ndel1/Csnk2a1",117
"R-MMU-2500257","Resolution of Sister Chromatid Cohesion","75/2260","118/8772",3.90911057841243e-18,1.33821885467652e-15,1.13844272985345e-15,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Cdca5/Bub1b/Cenpf/Ndc80/Ccnb2/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Cdc20/Aurkb/Ska1/Sgo1/Cdk1/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Nup85/Pmf1/Rangap1/Dsn1/Nup43/Smc3/Pds5b/Rad21/Ska2/Nup37/Cenpa/Nup160/Rcc2/Nup107/Cenpc1/Tuba1a/Ckap5/Nup133/Tuba4a/Taok1/Xpo1/Zw10/Tubb2a/Kif18a/Cenpt/Tuba1b/Tubb2b/Dynll1/Ranbp2/Itgb3bp/Pafah1b1/Zwint/Nudc/Smc1a/Wapl/Kif2a/Ppp2r5d/Ndel1",75
"R-MMU-141424","Amplification of signal from the kinetochores","62/2260","91/8772",1.99324306249678e-17,4.09412125036839e-15,3.48292998288912e-15,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Bub1b/Cenpf/Ndc80/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Cdc20/Aurkb/Ska1/Sgo1/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Nup85/Pmf1/Rangap1/Dsn1/Nup43/Ska2/Nup37/Cenpa/Nup160/Rcc2/Nup107/Cenpc1/Ckap5/Nup133/Taok1/Xpo1/Zw10/Kif18a/Cenpt/Dynll1/Ranbp2/Itgb3bp/Pafah1b1/Zwint/Nudc/Kif2a/Ppp2r5d/Ndel1",62
"R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","62/2260","91/8772",1.99324306249678e-17,4.09412125036839e-15,3.48292998288912e-15,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Bub1b/Cenpf/Ndc80/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Cdc20/Aurkb/Ska1/Sgo1/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Nup85/Pmf1/Rangap1/Dsn1/Nup43/Ska2/Nup37/Cenpa/Nup160/Rcc2/Nup107/Cenpc1/Ckap5/Nup133/Taok1/Xpo1/Zw10/Kif18a/Cenpt/Dynll1/Ranbp2/Itgb3bp/Pafah1b1/Zwint/Nudc/Kif2a/Ppp2r5d/Ndel1",62
"R-MMU-69618","Mitotic Spindle Checkpoint","68/2260","107/8772",1.47514510083001e-16,2.52495669758737e-14,2.14801830471738e-14,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Bub1b/Cenpf/Ndc80/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Cdc20/Aurkb/Ska1/Sgo1/Ube2c/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Nup85/Pmf1/Anapc15/Rangap1/Dsn1/Nup43/Ska2/Nup37/Cenpa/Nup160/Rcc2/Nup107/Cenpc1/Anapc5/Ckap5/Nup133/Taok1/Xpo1/Zw10/Cdc23/Kif18a/Cenpt/Dynll1/Ranbp2/Anapc11/Itgb3bp/Pafah1b1/Zwint/Nudc/Kif2a/Ppp2r5d/Ndel1/Cdc27",68
"R-MMU-5663220","RHO GTPases Activate Formins","77/2260","132/8772",1.56205063576829e-15,2.1469408667018e-13,1.82643460191923e-13,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Bub1b/Cenpf/Ndc80/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Fmnl2/Cdc20/Aurkb/Ska1/Sgo1/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Nup85/Pmf1/Rangap1/Diaph3/Dsn1/Nup43/Diaph1/Ska2/Nup37/Cenpa/Nup160/Rcc2/Nup107/Src/Cenpc1/Tuba1a/Ckap5/Nup133/Tuba4a/Taok1/Srgap2/Fmnl3/Xpo1/Zw10/Tubb2a/Kif18a/Cenpt/Tuba1b/Pfn1/Tubb2b/Dynll1/Ranbp2/Rhoa/Itgb3bp/Pafah1b1/Zwint/Nudc/Rhoc/Kif2a/Daam1/Ppp2r5d/Ndel1",77
"R-MMU-68886","M Phase","168/2260","381/8772",1.67239794874532e-15,2.1469408667018e-13,1.82643460191923e-13,"Ncapg/Nuf2/Bub1/Cenpe/Birc5/Spc25/Ncapd2/Cdca5/Bub1b/Cenpf/Ndc80/Fbxo5/Ccnb2/H2afx/Kif2c/Cenpn/Cenpq/Nek2/Ercc6l/Cdca8/Zwilch/Smc2/Mad2l1/Haus1/Cdc20/Plk4/Pttg1/Aurkb/Ska1/Ncaph/Sgo1/Ube2c/Cdk1/Plk1/Kntc1/Cenpp/Spdl1/Lpin2/Ndc1/Haus3/Kif20a/Cenph/Cenpk/Spc24/Smc4/Sgo2a/Tubg1/Mastl/Aaas/Ncapd3/Nde1/Clip1/H2afv/Cenps/Cenpu/Cep192/Haus4/Cenpm/Incenp/Haus6/Haus8/Cenpo/H2afz/Lmnb1/Nup85/Pmf1/Anapc15/Nup35/Rangap1/Ncaph2/Dsn1/Nup62/Nup43/Cdk5rap2/Lmna/Smc3/Pds5b/Rad21/Haus7/Ska2/Vrk2/Nup37/Espl1/Cenpa/Ncapg2/Haus5/Vrk1/Nup160/Rcc2/Nup107/Nup155/Cep152/Prkar2b/Cenpc1/Anapc5/Nup214/Tuba1a/Cep70/Ckap5/Nup210/Set/Nup133/Tuba4a/Taok1/Kif23/Tubgcp4/Cep41/Xpo1/Tubgcp2/Zw10/Nedd1/Haus2/Cdc23/Tubb2a/Kif18a/Nup188/Cenpt/Tuba1b/Psmb9/Ccp110/Tubb5/Psmd8/Odf2/Psmb3/Tubb2b/Cetn2/Dynll1/Ranbp2/Cep57/Gorasp1/Ywhag/Anapc11/Itgb3bp/Pafah1b1/Psmb10/Banf1/Ankle2/Pcm1/Hsp90aa1/Pcnt/Mcph1/Ubc/Blzf1/Gorasp2/Fgfr1op/Mzt2/Zwint/Nudc/Smc1a/Cep131/Cep72/Cep76/Psmd11/Wapl/Nup88/Kmt5a/H3c4/Nup153/Nup54/Kif2a/Psmd5/Cntrl/Ppp2r5d/Cep250/Ndel1/Csnk2a1/Nup50/Cdc27",168
"R-MMU-69620","Cell Cycle Checkpoints","132/2260","281/8772",5.67249291666851e-15,6.47294469490951e-13,5.50663055068405e-13,"Mcm5/Mcm6/Mcm7/Ccna2/Nuf2/Bub1/Mcm2/Cenpe/Birc5/Spc25/Bub1b/Cenpf/Clspn/Mcm4/Ndc80/Mcm10/Rfc4/Ccnb2/H2afx/Kif2c/Ccne2/Cenpn/Cenpq/Ercc6l/Cdca8/Chek1/Zwilch/Mad2l1/Mcm3/Cdc20/Aurkb/Ska1/Sgo1/Pkmyt1/Ube2c/Cdk1/Plk1/Kntc1/Rfc5/Brca1/Topbp1/Cdc45/Cenpp/Spdl1/Cdc6/Cdc25c/Cenph/Cenpk/Spc24/Blm/Sgo2a/Ccne1/Atm/Wee1/Nde1/Cdc25a/Clip1/Cenps/Cenpu/Cenpm/Rfc3/Incenp/Cdc7/Cenpo/Rbbp8/Nup85/Pmf1/Anapc15/Rangap1/Dsn1/Nup43/Gtse1/Rpa1/Rpa3/Rfc2/Dbf4/Exo1/Mcm8/Ska2/Nup37/Nsd2/Kat5/Brip1/Cenpa/Nup160/Rcc2/Nup107/Cenpc1/Anapc5/Chek2/Ywhaz/Ckap5/Nup133/Hus1/Taok1/Orc2/Dna2/Nbn/Xpo1/Zw10/Cdc23/Kif18a/Cenpt/Psmb9/Psmd8/Mre11a/Psmb3/Dynll1/Ranbp2/Ywhag/Anapc11/Itgb3bp/Cdk2/Pafah1b1/Psmb10/Orc1/Ubc/Zwint/Rad1/Nudc/Trp53/Rnf168/Wrn/Psmd11/Ywhaq/Rmi1/Kif2a/Psmd5/Ppp2r5d/Ndel1/Sumo1/Cdc27",132
"R-MMU-5685942","HDR through Homologous Recombination (HRR)","45/2260","62/8772",1.30612628516446e-14,1.3413916948639e-12,1.14114191230158e-12,"Rad51/Rad51ap1/Rfc4/Chek1/Pole/Pold2/Pold1/Rfc5/Brca1/Topbp1/Pcna/Blm/Atm/Eme1/Rfc3/Brca2/Rbbp8/Rfc1/Pole2/Rpa1/Rpa3/Rfc2/Exo1/Kat5/Brip1/Polh/Hus1/Dna2/Nbn/Pole3/Mre11a/Pold4/Polk/Rtel1/Rad51d/Palb2/Pole4/Ubc/Rad1/Rad51b/Wrn/Rad51c/Rmi1/Pold3/Xrcc2",45
