"","GSM1237722","GSM1237723","GSM1237724","GSM1237725","GSM1237726","GSM1237727","GSM1237728","GSM1237729","GSM1237730","GSM1237731","GSM1237732","GSM1237733"
"AU020206",2.68900885992347,2.65204954808624,2.69561496489864,1.58350838020162,1.50234851137609,1.5894959204336,2.81567331120503,2.75038840640544,2.57990885476401,2.71789775657946,2.60722444493249,2.68662030232368
"AI429363",1.17246628518199,1.13728189738021,0.997081815485019,2.68891705182222,2.87296630846882,2.79180407690888,1.11864037394535,1.34169527936102,1.18156991545652,0.922354017270436,1.17274268618931,1.13642436560227
"Slco2b1",0.894523291000462,0.895686838046815,0.838455616140587,2.21135058440284,2.02994495264735,2.07711079895846,1.08091393950537,1.28867184191631,0.742030601495116,0.888052070743748,1.11195826701326,0.996096652758368
"Cenpi",2.74743552965746,2.78927736941247,2.79255314234816,1.17154279444072,1.21383078630009,1.25370329994981,2.92754685535414,2.79473045910331,2.76162553074335,2.84314249157633,2.71725544410778,2.77793668793527
"Sbk1",1.31027950603116,1.45826336066129,1.5311133906008,2.32799888278657,2.51209588742884,2.54734140833767,1.36775121623227,1.22413865716645,1.17481497133445,1.38274153967935,1.36541317514548,1.25668266306579
"Akr1c18",1.03293210656032,1.00755548599458,0.983799657385515,2.15691497852291,2.17174989314675,2.24196265837556,0.80539038579801,0.893857824402033,0.944850695646484,1.14779470998151,0.983918874124295,1.01454657745749
"Rfc4",2.55120443836018,2.52199369468854,2.56755139579577,1.18700900043237,1.15637791099285,1.17242633011982,2.61021455525841,2.70429814656674,2.51975028272281,2.53151461275414,2.45083175416361,2.52186516348527
"Nrm",2.40307095913941,2.41874646895156,2.50841672784891,1.12828636526826,1.23107904016982,1.34460046674522,2.60456180826451,2.6760483170819,2.28276684301072,2.45790816859957,2.52960656797751,2.52464083227451
"Tcf19",3.56440120610476,3.71956718844145,3.53904805893208,1.68240243032082,1.6977502218052,1.70138074230544,3.62280170699741,3.68686181302145,3.54065241920115,3.5875340481485,3.4817758677452,3.56819251127253
"Smim3",2.28620213131197,2.44298199959793,2.3615986570285,3.49345002175695,3.56097495152225,3.48829313986062,2.48570388253542,2.3041099158024,2.15830876751318,2.30095872126066,2.31736076707807,2.39912298121456
"Psat1",3.16614050708443,3.18927420591492,3.19102903642052,1.79505069903523,1.95122922341233,1.92923031826733,3.39937538706339,3.4510949853211,3.29129196957571,3.28581469036236,3.26047239410647,3.212717799096
"Cdc20",3.75987309872413,3.72659129179488,3.8038705972922,2.64948640712436,2.49882639081148,2.49962690559992,3.86030737125041,3.94315766957028,3.78678632789254,3.79333234821263,3.77445839159956,3.76054185884268
"Cenpf",2.91636849273105,2.88680233128814,2.9443990611593,1.36185819947307,1.10396375518016,1.18928804633667,3.11625133569165,3.0222028399335,2.87754469195525,2.96750484231833,2.99109240404195,2.92849337670349
"Shmt2",3.31192438397046,3.24695850952562,3.29879664809835,1.973527694254,1.7517884530195,1.67821380990269,3.42923297246265,3.41370434624429,3.36313974943201,3.4070972158008,3.34329206508696,3.18383777924649
"Dnajc9",3.32476865308322,3.36432242927918,3.4044742880374,2.20589994444261,2.17268196732127,2.15350130171497,3.5417197823764,3.42381841743456,3.3040432232731,3.35109824529379,3.36142494822377,3.34449560113346
"Nusap1",3.47495921661723,3.51827983371051,3.53931600060429,1.63713557769168,1.29767630019003,1.3436466116131,3.64275799615347,3.61244536992791,3.40032738776446,3.54254214829667,3.47584454740446,3.50982564649291
"Cdca2",3.00227841463828,3.00082686486655,2.92347867955598,1.4798896830305,1.08703312038677,1.04906035058873,2.99568538189957,3.08662698545064,2.93165191940169,2.91395413751334,2.83516621119232,2.94537210574136
"E2f8",3.01038946991293,2.87911439016056,3.00424618833414,1.79345282391293,1.82708997381675,2.00088935770339,3.08813764807096,3.11408025576177,2.93114458459735,2.9779143737276,2.96533976749178,2.8943740421707
"Pimreg",3.00404123058044,3.04719825977547,2.9772111276913,1.34805575867246,1.12543974592301,1.19191172084939,3.10805658829292,3.13222229128738,2.95041241555072,2.96087134361739,2.95051852433935,2.97121089210721
"Kif22",3.03052854668129,2.9584798584129,2.95512878630514,1.20910405052818,1.35538484529157,1.40278572254812,3.0669490084474,3.11924698340415,2.90678192098396,2.97166684361971,2.9834367187998,2.96158780708012
"Dut",2.73946277148975,2.73283882714695,2.75389928712518,0.925132257153554,1.16724596364181,1.25595946258042,2.87245907228314,2.75836884243972,2.65623358720959,2.73365356343574,2.68013718088919,2.63233920056834
"Phka2",3.14264984935233,3.15557570951305,3.21318414112969,2.03611306777253,2.14940445819199,2.13698339480334,3.28351671528261,3.2718011827305,3.23338328941566,3.13676027738021,3.1593825516759,3.14135485357818
"Chaf1b",2.68508100464757,2.79349567058077,2.81025510575639,1.15434271013437,1.23131813595595,1.12050580774006,2.74817772933642,2.78365870730759,2.69550517259217,2.62399902173959,2.58165398732112,2.68836170534703
"D17H6S56E-5",3.86271508095431,3.89093989805808,3.85067527422293,2.20396410456809,2.22221896431004,2.25212514643204,4.05553920119202,3.9763089204445,3.81433431151655,3.80599583395687,3.85621098419094,3.79039047899522
"Abca1",2.16395477968358,1.9057122517758,1.88784416568404,3.05453120109466,3.39942200017299,3.41009770081672,2.16809866007937,2.42071164662362,1.96227503101141,2.05385738954924,2.09770627388694,2.03376731408697
"Rasa2",1.58742307201737,1.44598565051549,1.36509346268122,2.60477356609482,2.59040565857975,2.71443812795172,1.8764126204662,1.66500535477129,1.53453739835887,1.66741791679656,1.40934261382813,1.5186853577422
"Adora2b",1.42180218059101,1.3620894430489,1.2455092619161,2.47041024580945,2.56476332452822,2.53275532400676,1.22438615917765,1.18754561641764,1.2141676157413,1.03412039338722,1.13174320466208,1.32559039953313
